SalesOrg;Customer_Name;EAN_UPC_Code;Week_Date_Start;Currency;Sales_Value;Sales_Volume;Retail Sales Price;Base_Sales_Value;Base_Sales_Volume;Incremental_Sales_Value;Incremental_Sales_Volume;ACV Weighted Distribution;ACV Weighted Distribution No Merch;ACV Weighted Distribution Any Merch;ACV Weighted Distribution Price Reductions Only;ACV Weighted Distribution Feature Only;ACV Weighted Distribution Display Only;ACV Weighted Distribution Feature and Display;ACV Weighted Distribution Feature and/or Display;RoS;Promoted ACV %;In-store Price Discount %;COVID;Week_of_Year;Post event deep
B01;B;33409;2020-05-17;BBB;90930.75089;9077.407212;10.0172602998126;90836.54011;9064.187199;94.21078004;13.22001373;67.04569599;66.72522019;0.320475797;0.320475797;0.00;0.00;0.00;0.00;135.39134881013;0.00477996077552539; 0.999579271388568 ;-14.3571428571429;20;0
B01;B;33409;2020-05-24;BBB;96273.603;9605.077035;10.0231994651566;96194.56716;9593.612694;79.03584029;11.46434028;67.94700046;67.82449762;0.122502842;0.122502842;0.00;0.00;0.00;0.00;141.36131057992;0.00180291758533354; 0.999627073153518 ;-13.5;21;0
B01;B;33409;2020-05-31;BBB;90676.1843;9057.034816;10.011685517628;90540.23643;9036.875957;135.9478687;20.15885939;66.84266867;66.37451437;0.468154306;0.468154306;0.00;0.00;0.00;0.00;135.497803965821;0.00700382428342683; 0.999272408717937 ;-9.92857142857143;22;0
B01;B;33409;2020-06-07;BBB;86676.11341;8656.864656;10.0124140614727;86592.18354;8642.693072;83.92986595;14.17158403;64.55976517;64.24424807;0.315517105;0.315517105;0.00;0.00;0.00;0.00;134.090708558257;0.00488720961374587; 0.999330633614433 ;-8.57142857142857;23;0
B01;B;33409;2020-06-14;BBB;98025.57512;9792.27478;10.0105008613739;97973.3249;9782.249513;52.2502136;10.02526776;68.13604668;67.80175458;0.334292094;0.334292094;0.00;0.00;0.00;0.00;143.716509206783;0.00490624434919152; 0.999508971202231 ;-6.85714285714286;24;0
B01;B;34462;2019-01-06;BBB;219437.968;7626.028814;28.7748674116143;216496.8561;7477.218853;2941.11188;148.8099608;56.44961022;53.61457545;2.835034766;2.807351289;0.00;0.027683477;0.00;0.027683477;135.09444590103;0.0502223975497984; 0.993806492059714 ;0.00;1;0
B01;B;34462;2019-01-13;BBB;330005.1051;13095.6604;25.1995771897078;201714.068;7177.130342;128291.0372;5918.530056;71.23102047;0.615270161;70.61575031;1.42878366;69.14947846;0.00;0.037488187;69.18696665;183.847715694533;0.991362328435837; 0.896618921263454 ;0.00;2;0
B01;B;34462;2019-01-20;BBB;285231.297;9888.254998;28.8454633358152;188328.4543;6491.379137;96902.84264;3396.875861;62.54311644;1.796890513;60.74622593;0.00;60.74622593;0.00;0.00;60.74622593;158.103010544513;0.971269571900469; 0.994256760568598 ;0.00;3;0
B01;B;34462;2019-01-27;BBB;219932.97;7612.865034;28.889645227881;217641.575;7501.90462;2291.394974;110.9604136;55.4008961;54.07294207;1.327954028;1.327954028;0.00;0.00;0.00;0.00;137.4141136681;0.0239699015987577; 0.995799460673823 ;0.00;4;0
B01;B;34462;2019-02-03;BBB;265728.5556;9164.779835;28.994537826778;186929.3047;6436.283561;78799.25091;2728.496274;61.46008475;1.66777345;59.7923113;0.00;59.76633865;0.00;0.025972646;59.7923113;149.11759188552;0.972864120562411; 0.998329649130096 ;0.00;5;0
B01;B;34462;2019-02-10;BBB;308396.0977;10663.55903;28.92055990241;201167.7938;6927.471471;107228.3039;3736.087562;65.44458943;1.630147493;63.81444194;0.00;63.78889046;0.00;0.025551481;63.81444194;162.940269361852;0.975091180123552; 0.995916641848124 ;0.00;6;0
B01;B;34462;2019-02-17;BBB;230996.91;7976.975271;28.9579573901628;229853.1521;7920.426435;1143.757838;56.54883603;57.9933623;56.63170767;1.361654624;1.361654624;0.00;0.00;0.00;0.00;137.549798022316;0.0234794909278781; 0.997851755006013 ;0.00;7;0
B01;B;34462;2019-02-24;BBB;205454.501;7097.024479;28.9493859867522;204646.6252;7050.827971;807.8757589;46.19650839;54.67462859;53.64332855;1.031300033;1.031300033;0.00;0.00;0.00;0.00;129.804713118765;0.0188624972788315; 0.997412687647232 ;0.00;8;0
B01;B;34462;2019-03-03;BBB;223173.7606;7735.4941;28.8506148042954;220419.0507;7613.1623;2754.709936;122.3318003;57.09632442;54.14902293;2.947301493;2.291000226;0.00;0.656301267;0.00;0.656301267;135.481472381616;0.0516198113090377; 0.996485613481882 ;0.00;9;0
B01;B;34462;2019-03-10;BBB;277508.0135;10989.81601;25.2513793904726;188962.9978;6800.400604;88545.01571;4189.415401;66.66999092;0.674950212;65.99504071;1.132699047;64.8380682;0.00;0.02427346;64.86234166;164.839020650042;0.989876251658562; 0.908746673465418 ;0.00;10;0
B01;B;34462;2019-03-17;BBB;248342.6999;8589.881472;28.9110741177873;172786.3164;5956.549794;75556.38354;2633.331678;60.23370482;1.708447018;58.5252578;0.00;58.50121937;0.00;0.024038436;58.5252578;142.609216844118;0.971636361649919; 0.996666033333092 ;0.00;11;0
B01;B;34462;2019-03-24;BBB;202196.492;6978.102655;28.9758551853806;201535.2977;6946.300662;661.1943584;31.80199269;54.03764307;53.09158564;0.946057438;0.946057438;0.00;0.00;0.00;0.00;129.134104645545;0.0175073778990413; 0.998708436453836 ;0.00;12;0
B01;B;34462;2019-03-31;BBB;225642.6009;7797.206127;28.9389041696165;157767.7833;5437.321264;67874.81763;2359.884863;56.6673849;1.789176385;54.87820851;0.09138352;54.78682499;0.00;0.00;54.78682499;137.59601119338;0.968426699182302; 0.997352664194491 ;0.00;13;0
B01;B;34462;2019-04-07;BBB;213194.5746;7362.405571;28.9571896772107;211864.1625;7297.846824;1330.412114;64.55874746;54.83998112;53.70272377;1.137257352;1.137257352;0.00;0.00;0.00;0.00;134.252518338577;0.0207377414939562; 0.997455785934526 ;0.00;14;0
