SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
661,2104409008,900076,6E+13,77,5000,0.572,15.72
670,2104409008,900077,6E+13,149,9105.152,0.644,33.288
680,2104409008,900078,6E+13,77,5000,0.572,18.528
690,2104409008,900079,6E+13,221,12257.6,0.716,33.36
700,2104409008,900080,411312,105,14723.6,6,20.5
710,2104409008,900081,233703,155,34400,18.5,33
720,2104409008,900082,233710,305,61700,8.3,22.8
80,2104411872,900021,6E+13,149,5665.28,40.82,59.64
290,2104411872,900022,232822,17,10040,2.9,19.668
290,2104411872,900023,232822,113,50360,22.1,57.012
20,2104427638,900021,6E+13,269,6219.68,74.42,96.84
20,2104427641,900021,6E+13,1613,12428.96,450.74,513.48
20,2104427641,900022,6E+13,317,6441.44,87.86,111.72
20,2104427653,900021,6E+13,269,6219.68,74.42,96.84
20,2104427653,900022,6E+13,1181,10433.12,329.78,379.56
20,2104427660,900021,6E+13,869,8991.68,242.42,282.84
20,2104427660,900022,6E+13,581,7661.12,161.78,193.56
20,2104427788,900021,6E+13,1133,10211.36,316.34,364.68
80,2104428727,900021,6E+13,125,43115,18.5,33
80,2104428727,900022,6E+13,29,12623,4.1,18.6
190,2104428727,900023,232815,233,54248,23.3,62.652
190,2104428727,900024,232815,137,33512,13.7,42.588
200,2104428727,900025,232822,1301,549320,259.7,519.144
200,2104428727,900026,232822,2309,972680,461.3,911.256
30,2063560507,40,6E+13,53,16760,20.66,35.16
20,2063560508,30,6E+13,23,85726.508,33.44,47.94
30,2063560508,40,6E+13,53,16760,20.66,35.16
20,2063560509,30,6E+13,23,85726.508,33.44,47.94
30,2063560509,40,6E+13,53,16760,20.66,35.16
20,2063560510,30,6E+13,23,85726.508,33.44,47.94
30,2063560510,40,6E+13,53,16760,20.66,35.16
20,2063560511,30,6E+13,23,85726.508,33.44,47.94
30,2063560511,40,6E+13,53,16760,20.66,35.16
20,2063560512,30,6E+13,17,58817.672,22.46,36.96
30,2063560512,40,6E+13,29,10880,10.58,25.08
20,2063560513,30,6E+13,29,13640,4.292,18.792
20,2063560514,30,6E+13,29,11912,3.548,18.048
30,2063560514,40,6E+13,77,41288,20.444,34.944
40,2063560514,50,6E+13,41,17240,1.04,15.54
50,2063560514,60,240476,41,15090.08,0.536,15.036
60,2063560514,70,240957,41,15090.08,0.536,15.036
20,2063560515,30,ABDA136A,2801,955640,405.92,420.42
30,2063560515,40,6E+13,245,49160,8.18,22.68
40,2063560515,50,6E+13,485,116936,18.74,33.24
20,2063560516,30,551984,245,5000.24,0.74,15.24
30,2063560516,40,6E+13,245,56840,30.98,45.48
40,2063560516,50,6E+13,1541,557960,243.188,257.688
50,2063560516,60,6E+13,2825,963800,338.9,353.4
20,2063560517,30,6E+13,725,212360,91.94,106.44
30,2063560517,40,6E+13,725,212360,91.94,106.44
20,2104445997,900021,6E+13,1229,952376,673.7,688.2
20,2104445997,900022,6E+13,101,79304,53.3,67.8
20,2104445997,900023,6E+13,1325,1026680,726.5,741
120,2104445997,900024,237063,6917,502664,62.708,97.944
120,2104445997,900025,237063,13253,958856,119.732,173.976
120,2104445997,900026,237063,581,46472,5.684,21.912
280,2104445997,900027,6E+13,2657,94107.2,27.02,248.376
280,2104445997,900028,6E+13,1265,47336,13.1,125.88
280,2104445997,900029,6E+13,893,34836.8,9.38,93.144
40,2104468229,900021,6E+13,497,71420,22.64,51.9
40,2104468229,900022,6E+13,6113,829580,275.36,473.1
60,2104468229,900023,6E+13,2573,1128500,755.492,769.992
60,2104468229,900024,6E+13,437,194000,127.508,142.008
70,2104468229,900025,6E+13,1505,1166000,825.5,840
70,2104468229,900026,6E+13,185,144320,99.5,114
80,2104468229,900027,6E+13,3461,1517000,1016.564,1031.064
80,2104468229,900028,6E+13,3125,1370000,917.78,932.28
80,2104468229,900029,6E+13,29,15500,7.556,22.056
90,2104468229,900030,6E+13,593,460112,323.9,338.4
90,2104468229,900031,6E+13,1517,1175288,832.1,846.6
40,2063560517,50,6E+13,725,367880,199.94,214.44
100,2104468229,900032,6E+13,1205,386150,180.5,195
50,2063560517,60,6E+13,2177,743480,33.08,47.58
100,2104468229,900033,6E+13,725,233690,108.5,123
60,2063560517,70,240476,2021,570044.48,2.516,17.016
110,2104468229,900034,6E+13,677,218444,101.3,115.8
20,2095851280,900021,6E+13,2885,1802120,605.3,619.8
30,2095851280,900022,6E+13,2405,593000,1008.5,1023
110,2104468229,900035,6E+13,533,172706,79.7,94.2
20,2104468235,900021,6E+13,101,35492,14.9,29.4
20,2104468235,900022,6E+13,869,279428,130.1,144.6
50,2104468235,900023,6E+13,1157,220487.36,45.428,59.928
50,2104468235,900024,6E+13,2597,489846.56,101.588,116.088
60,2104468235,900025,6E+13,557,170600,83.3,97.8
60,2104468235,900026,6E+13,413,127400,61.7,76.2
70,2104468235,900027,6E+13,1097,319496,50.732,65.232
70,2104468235,900028,6E+13,1217,354056,56.252,70.752
